Time,BLOCK1:ZONE3::Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN UNTITLED:Des Sens Cool Load [W],BLOCK1:ZONE3::Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN UNTITLED:Des Cool Mass Flow [kg/s],BLOCK1:ZONE7:WINTER DESIGN DAY IN UNTITLED:Des Heat Load [W],BLOCK1:ZONE7:SUMMER DESIGN DAY IN UNTITLED:Des Sens Cool Load [W],BLOCK1:ZONE7:WINTER DESIGN DAY IN UNTITLED:Des Heat Mass Flow [kg/s],BLOCK1:ZONE7:SUMMER DESIGN DAY IN UNTITLED:Des Cool Mass Flow [kg/s],BLOCK1:ZONE6:WINTER DESIGN DAY IN UNTITLED:Des Heat Load [W],BLOCK1:ZONE6:SUMMER DESIGN DAY IN UNTITLED:Des Sens Cool Load [W],BLOCK1:ZONE6:WINTER DESIGN DAY IN UNTITLED:Des Heat Mass Flow [kg/s],BLOCK1:ZONE6:SUMMER DESIGN DAY IN UNTITLED:Des Cool Mass Flow [kg/s],BLOCK6:ZONE1:WINTER DESIGN DAY IN UNTITLED:Des Heat Load [W],BLOCK6:ZONE1:SUMMER DESIGN DAY IN UNTITLED:Des Sens Cool Load [W],BLOCK6:ZONE1:WINTER DESIGN DAY IN UNTITLED:Des Heat Mass Flow [kg/s],BLOCK6:ZONE1:SUMMER DESIGN DAY IN UNTITLED:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,7.328766E+03,0.000000E+00,2.024982E+04,7.029247E+02,1.895381E+03,2.154168E-02,1.408495E-01,2.306877E+04,7.828992E+01,7.064964E-01,5.816616E-03,1.427449E+05,1.006745E+03,4.371539E+00,7.479684E-02
02:00:00,0.000000E+00,7.373743E+03,0.000000E+00,8.546388E+04,7.020687E+02,1.829691E+03,2.151545E-02,1.359797E-01,2.306847E+04,7.230826E+01,7.064870E-01,5.372215E-03,1.427442E+05,9.284295E+02,4.371515E+00,6.897925E-02
03:00:00,0.000000E+00,1.350885E+04,0.000000E+00,1.271829E+05,7.021738E+02,2.402134E+03,2.151867E-02,1.785409E-01,2.306851E+04,3.834244E+01,7.064883E-01,2.848690E-03,1.427442E+05,7.588140E+02,4.371518E+00,5.638134E-02
04:00:00,0.000000E+00,1.790108E+04,0.000000E+00,1.162305E+05,7.022758E+02,2.973922E+03,2.152180E-02,2.210678E-01,2.306855E+04,3.841608E+00,7.064895E-01,2.866435E-04,1.427443E+05,5.490839E+02,4.371521E+00,4.080178E-02
05:00:00,0.000000E+00,1.118470E+04,0.000000E+00,5.793945E+04,7.023748E+02,2.857466E+03,2.152483E-02,2.124696E-01,2.306859E+04,2.711006E+00,7.064907E-01,2.064388E-04,1.427444E+05,3.982346E+02,4.371523E+00,2.959347E-02
06:00:00,0.000000E+00,6.216746E+03,0.000000E+00,1.622769E+02,7.024709E+02,2.683526E+03,2.152778E-02,1.995931E-01,2.306863E+04,5.914359E+00,7.064919E-01,4.522546E-04,1.427445E+05,3.322384E+02,4.371526E+00,2.469149E-02
07:00:00,0.000000E+00,9.684465E+03,0.000000E+00,2.521647E+04,7.025643E+02,2.053221E+03,2.153064E-02,1.526816E-01,2.306866E+04,2.518029E+01,7.064930E-01,1.880179E-03,1.427446E+05,4.847647E+02,4.371528E+00,3.602654E-02
08:00:00,0.000000E+00,9.385251E+03,0.000000E+00,2.511281E+04,7.026550E+02,1.540959E+03,2.153342E-02,1.145542E-01,2.306870E+04,4.148469E+01,7.064940E-01,3.083536E-03,1.427447E+05,6.258410E+02,4.371530E+00,4.651856E-02
09:00:00,0.000000E+00,9.930660E+03,0.000000E+00,4.221121E+04,7.027431E+02,1.294433E+03,2.153612E-02,9.622223E-02,2.306873E+04,2.605159E+01,7.064950E-01,1.936568E-03,1.427447E+05,5.862777E+02,4.371533E+00,4.357496E-02
10:00:00,0.000000E+00,1.856699E+04,0.000000E+00,1.627262E+05,7.028286E+02,1.053954E+03,2.153874E-02,7.830972E-02,2.306876E+04,5.924853E+00,7.064960E-01,4.401869E-04,1.427448E+05,6.604040E+02,4.371535E+00,4.906741E-02
11:00:00,0.000000E+00,2.116171E+04,0.000000E+00,1.722462E+05,7.029118E+02,1.156314E+03,2.154129E-02,8.591156E-02,2.306879E+04,5.468914E-01,7.064970E-01,4.065556E-05,1.427449E+05,8.975782E+02,4.371537E+00,6.668649E-02
12:00:00,0.000000E+00,1.808501E+04,0.000000E+00,1.423214E+05,7.029927E+02,1.287831E+03,2.154376E-02,9.568397E-02,2.306882E+04,1.637606E+00,7.064978E-01,1.217152E-04,1.427449E+05,1.160492E+03,4.371539E+00,8.621955E-02
13:00:00,0.000000E+00,1.595541E+04,0.000000E+00,1.497664E+05,7.030712E+02,1.421712E+03,2.154617E-02,1.056320E-01,2.306885E+04,8.217657E+00,7.064987E-01,6.109303E-04,1.427450E+05,1.432475E+03,4.371542E+00,1.064265E-01
14:00:00,0.000000E+00,1.266657E+04,0.000000E+00,7.409019E+04,7.031476E+02,1.552187E+03,2.154851E-02,1.153304E-01,2.306888E+04,1.697957E+01,7.064995E-01,1.261855E-03,1.427451E+05,1.689618E+03,4.371544E+00,1.255325E-01
15:00:00,0.000000E+00,8.934334E+03,0.000000E+00,1.925470E+04,7.032219E+02,1.667263E+03,2.155079E-02,1.238886E-01,2.306890E+04,2.212936E+01,7.065003E-01,1.644085E-03,1.427452E+05,1.912739E+03,4.371546E+00,1.421126E-01
16:00:00,0.000000E+00,6.962556E+03,0.000000E+00,4.572437E+03,7.032941E+02,1.754726E+03,2.155300E-02,1.303973E-01,2.306893E+04,3.068592E+01,7.065011E-01,2.279817E-03,1.427452E+05,2.066706E+03,4.371548E+00,1.535552E-01
17:00:00,0.000000E+00,8.634484E+03,0.000000E+00,2.028837E+04,7.033644E+02,1.811488E+03,2.155516E-02,1.346101E-01,2.306895E+04,5.334596E+01,7.065018E-01,3.963355E-03,1.427453E+05,2.092296E+03,4.371550E+00,1.554544E-01
18:00:00,0.000000E+00,1.528435E+04,0.000000E+00,7.297336E+04,7.034327E+02,1.993655E+03,2.155725E-02,1.481288E-01,2.306897E+04,8.511140E+01,7.065025E-01,6.323321E-03,1.427453E+05,1.980239E+03,4.371552E+00,1.471230E-01
19:00:00,0.000000E+00,1.835738E+04,0.000000E+00,1.218333E+05,7.034992E+02,2.184088E+03,2.155929E-02,1.622726E-01,2.306900E+04,1.014522E+02,7.065032E-01,7.537317E-03,1.427454E+05,1.792795E+03,4.371554E+00,1.331946E-01
20:00:00,0.000000E+00,1.565204E+04,0.000000E+00,9.505123E+04,7.035638E+02,2.181181E+03,2.156127E-02,1.620584E-01,2.306902E+04,1.012512E+02,7.065038E-01,7.522392E-03,1.427455E+05,1.607162E+03,4.371555E+00,1.194031E-01
21:00:00,0.000000E+00,1.485677E+04,0.000000E+00,8.502687E+04,7.036267E+02,2.122715E+03,2.156320E-02,1.577149E-01,2.306904E+04,1.022557E+02,7.065044E-01,7.597016E-03,1.427455E+05,1.451116E+03,4.371557E+00,1.078095E-01
22:00:00,0.000000E+00,1.288373E+04,0.000000E+00,7.463774E+04,7.036879E+02,2.070706E+03,2.156507E-02,1.538539E-01,2.306906E+04,1.009010E+02,7.065050E-01,7.496389E-03,1.427456E+05,1.314979E+03,4.371559E+00,9.769530E-02
23:00:00,0.000000E+00,9.295858E+03,0.000000E+00,4.279106E+04,7.037475E+02,2.019907E+03,2.156690E-02,1.500861E-01,2.306908E+04,9.186603E+01,7.065056E-01,6.825179E-03,1.427456E+05,1.196527E+03,4.371561E+00,8.889526E-02
24:00:00,0.000000E+00,7.855313E+03,0.000000E+00,3.066475E+04,7.038055E+02,1.963786E+03,2.156867E-02,1.459226E-01,2.306909E+04,8.434857E+01,7.065062E-01,6.266705E-03,1.427457E+05,1.095169E+03,4.371562E+00,8.136538E-02
Peak,0.000000E+00,2.116171E+04,0.000000E+00,1.722462E+05,7.038055E+02,2.973922E+03,2.156867E-02,2.210678E-01,2.306909E+04,1.022557E+02,7.065062E-01,7.597016E-03,1.427457E+05,2.092296E+03,4.371562E+00,1.554544E-01

Peak Vol Flow (m3/s),,,0.000000E+00,1.449737E+05,,,1.815361E-02,1.860652E-01,,,5.946420E-01,6.394148E-03,,,3.679394E+00,1.308407E-01
